date_bjt,time_bjt,group,team_a,team_b,goals_a,goals_b
2026-06-12,00:00,A,Mexico,South Africa,2,0
2026-06-12,06:00,A,South Korea,Czechia,2,1
2026-06-13,03:00,B,Canada,Bosnia and Herzegovina,1,1
2026-06-13,09:00,D,United States,Paraguay,4,1
2026-06-14,03:00,B,Qatar,Switzerland,1,1
2026-06-14,06:00,C,Brazil,Morocco,1,1
2026-06-14,09:00,C,Haiti,Scotland,0,1
2026-06-14,12:00,D,Australia,Turkey,2,0
2026-06-15,01:00,E,Germany,Curaçao,7,1
2026-06-15,04:00,F,Netherlands,Japan,2,2
2026-06-15,07:00,E,Ivory Coast,Ecuador,1,0
2026-06-15,10:00,F,Sweden,Tunisia,5,1
2026-06-16,01:00,H,Spain,Cape Verde,0,0
2026-06-16,06:00,G,Belgium,Egypt,1,1
2026-06-16,06:00,H,Saudi Arabia,Uruguay,1,1
2026-06-16,12:00,G,Iran,New Zealand,2,2
2026-06-17,03:00,I,France,Senegal,3,1
2026-06-17,06:00,I,Iraq,Norway,1,4
2026-06-17,09:00,J,Argentina,Algeria,3,0
2026-06-17,12:00,J,Austria,Jordan,3,1
2026-06-18,01:00,K,Portugal,DR Congo,1,1
2026-06-18,04:00,L,England,Croatia,4,2
2026-06-18,07:00,L,Ghana,Panama,1,0
2026-06-18,10:00,K,Uzbekistan,Colombia,1,3
2026-06-19,00:00,A,Czechia,South Africa,1,1
2026-06-19,03:00,B,Switzerland,Bosnia and Herzegovina,4,1
2026-06-19,06:00,B,Canada,Qatar,6,0
2026-06-19,11:00,A,Mexico,South Korea,1,0
2026-06-20,03:00,D,United States,Australia,2,0
2026-06-20,06:00,C,Scotland,Morocco,0,1
2026-06-20,09:00,C,Brazil,Haiti,3,0
2026-06-20,12:00,D,Turkey,Paraguay,0,1
2026-06-21,01:00,F,Netherlands,Sweden,5,1
2026-06-21,04:00,E,Germany,Ivory Coast,2,1
2026-06-21,08:00,E,Ecuador,Curaçao,0,0
