actual_outcome,actual_score,actual_total_bucket,advancing_team,aggressive_bucket_hit,aggressive_deviation,aggressive_exact_hit,aggressive_final_outcome_hit,aggressive_outcome_hit,aggressive_score,any_score_bucket_hit,any_score_exact_hit,any_score_final_outcome_hit,any_score_outcome_hit,available_score_count,cache_created_at_utc,cache_run_id,date_bjt,decision_method,evaluation_phase,final_outcome,final_score,four_score_mean_deviation,group,market_bucket_hit,market_deviation,market_exact_hit,market_final_outcome_hit,market_outcome_hit,market_score,missing_score_columns,model_bucket_hit,model_deviation,model_exact_hit,model_final_outcome_hit,model_outcome_hit,model_score,outcome_hit,predicted_outcome,raw_total_goal_buckets,regulation_score,selected_top2_buckets,selected_total_bucket,team_a,team_b,time_bjt,top1_bucket_hit,top2_bucket_hit,upset_bucket_hit,upset_deviation,upset_exact_hit,upset_final_outcome_hit,upset_outcome_hit,upset_score
D,1-1,2-3球,,TRUE,1.000000,FALSE,FALSE,FALSE,2-0,TRUE,FALSE,FALSE,FALSE,3,2026-06-18T08:34:40+00:00,20260618_163440_431072,2026-06-19,,final,D,1-1,0.666667,A,FALSE,0.500000,FALSE,FALSE,FALSE,1-0,upset,FALSE,0.500000,FALSE,FALSE,FALSE,1-0,FALSE,A,0-1球 49.6%; 2-3球 39.9%; 4-5球 9.4%; 6-8球 1.1%,1-1,"0-1球,2-3球",0-1球,Czechia,South Africa,00:00,FALSE,TRUE,,,,,,
A,4-1,4-5球,,FALSE,0.600000,FALSE,TRUE,TRUE,2-0,TRUE,FALSE,TRUE,TRUE,3,2026-06-18T08:34:40+00:00,20260618_163440_431072,2026-06-19,,final,A,4-1,0.400000,B,FALSE,0.400000,FALSE,TRUE,TRUE,2-1,upset,TRUE,0.200000,FALSE,TRUE,TRUE,3-1,TRUE,A,4-5球 30.2%; 2-3球 40.0%; 0-1球 16.0%; 6-8球 13.8%,4-1,"2-3球,4-5球",4-5球,Switzerland,Bosnia and Herzegovina,03:00,TRUE,TRUE,,,,,,
A,6-0,6-8球,,FALSE,0.666667,FALSE,TRUE,TRUE,2-0,FALSE,FALSE,TRUE,TRUE,3,2026-06-18T08:34:40+00:00,20260618_163440_431072,2026-06-19,,final,A,6-0,0.666667,B,FALSE,0.500000,FALSE,TRUE,TRUE,3-0,upset,FALSE,0.833333,FALSE,TRUE,TRUE,1-0,TRUE,A,0-1球 45.1%; 2-3球 42.5%; 4-5球 11.0%; 6-8球 1.4%,6-0,"0-1球,2-3球",0-1球,Canada,Qatar,06:00,FALSE,FALSE,,,,,,
A,1-0,0-1球,,TRUE,0.000000,TRUE,TRUE,TRUE,1-0,TRUE,TRUE,TRUE,TRUE,3,2026-06-18T08:34:40+00:00,20260618_163440_431072,2026-06-19,,final,A,1-0,1.000000,A,FALSE,2.000000,FALSE,TRUE,TRUE,2-1,upset,FALSE,1.000000,FALSE,TRUE,TRUE,2-0,TRUE,A,2-3球 44.9%; 0-1球 40.0%; 4-5球 13.2%; 6-8球 1.9%,1-0,"0-1球,2-3球",2-3球,Mexico,South Korea,11:00,FALSE,TRUE,,,,,,
A,2-0,2-3球,,FALSE,1.000000,FALSE,FALSE,FALSE,2-2,TRUE,FALSE,TRUE,TRUE,3,2026-06-19T05:35:50+00:00,20260619_133550_429779,2026-06-20,,final,A,2-0,1.000000,D,FALSE,1.000000,FALSE,TRUE,TRUE,3-1,upset,TRUE,1.000000,FALSE,FALSE,FALSE,1-1,FALSE,D,2-3球 44.6%; 4-5球 23.7%; 0-1球 24.7%; 6-8球 7.0%,2-0,"2-3球,4-5球",2-3球,United States,Australia,03:00,TRUE,TRUE,,,,,,
B,0-1,0-1球,,TRUE,0.000000,TRUE,TRUE,TRUE,0-1,TRUE,TRUE,TRUE,TRUE,3,2026-06-19T05:35:50+00:00,20260619_133550_429779,2026-06-20,,final,B,0-1,1.000000,C,FALSE,2.000000,FALSE,TRUE,TRUE,1-2,upset,FALSE,1.000000,FALSE,TRUE,TRUE,0-2,TRUE,B,2-3球 45.4%; 0-1球 36.5%; 4-5球 15.5%; 6-8球 2.6%,0-1,"0-1球,2-3球",2-3球,Scotland,Morocco,06:00,FALSE,TRUE,,,,,,
A,3-0,2-3球,,FALSE,0.333333,FALSE,TRUE,TRUE,4-0,FALSE,FALSE,TRUE,TRUE,3,2026-06-19T05:35:50+00:00,20260619_133550_429779,2026-06-20,,final,A,3-0,0.777778,C,FALSE,1.000000,FALSE,TRUE,TRUE,6-0,upset,FALSE,1.000000,FALSE,TRUE,TRUE,5-1,TRUE,A,6-8球 35.9%; 4-5球 35.4%; 2-3球 24.0%; 0-1球 4.7%,3-0,"4-5球,6-8球",6-8球,Brazil,Haiti,09:00,FALSE,FALSE,,,,,,
B,0-1,0-1球,,TRUE,2.000000,FALSE,FALSE,FALSE,1-0,TRUE,FALSE,FALSE,FALSE,3,2026-06-19T05:35:50+00:00,20260619_133550_429779,2026-06-20,,final,B,0-1,2.333333,D,FALSE,2.000000,FALSE,FALSE,FALSE,2-1,upset,FALSE,3.000000,FALSE,FALSE,FALSE,2-0,FALSE,A,2-3球 44.9%; 0-1球 33.6%; 4-5球 17.7%; 6-8球 3.7%,0-1,"0-1球,2-3球",2-3球,Turkey,Paraguay,12:00,FALSE,TRUE,,,,,,
A,5-1,6-8球,,FALSE,0.333333,FALSE,TRUE,TRUE,3-1,FALSE,FALSE,TRUE,TRUE,4,2026-06-20T09:55:31+00:00,20260620_175531_074382,2026-06-21,,final,A,5-1,0.583333,F,FALSE,0.666667,FALSE,FALSE,FALSE,1-1,,FALSE,0.666667,FALSE,TRUE,TRUE,2-0,TRUE,A,2-3球 44.0%; 4-5球 26.6%; 0-1球 20.5%; 6-8球 8.9%,5-1,"2-3球,4-5球",2-3球,Netherlands,Sweden,01:00,FALSE,FALSE,FALSE,0.666667,FALSE,FALSE,FALSE,2-2
A,2-1,2-3球,,FALSE,0.666667,FALSE,TRUE,TRUE,4-1,FALSE,FALSE,TRUE,TRUE,4,2026-06-20T09:55:31+00:00,20260620_175531_074382,2026-06-21,,final,A,2-1,0.750000,E,FALSE,1.000000,FALSE,TRUE,TRUE,4-2,,FALSE,1.000000,FALSE,TRUE,TRUE,5-1,TRUE,A,6-8球 46.9%; 4-5球 32.0%; 2-3球 18.0%; 0-1球 3.1%,2-1,"4-5球,6-8球",6-8球,Germany,Ivory Coast,04:00,FALSE,FALSE,FALSE,0.333333,FALSE,FALSE,FALSE,2-2
